GENEID	R1_H1975.bam	R2_H1975.bam	R3_H1975.bam	R1_HCC827.bam	R2_HCC827.bam	R3_HCC827.bam
ENSG00000136950	2127	2140	2245	1609	1563	1255
ENSG00000136960	3	6	6	1	0	0
ENSG00000136982	101	95	86	34	25	29
ENSG00000136986	2277.99999	2129	1967	613	470.99999	637
ENSG00000136997	3190	3789.99999	3562.99999	2379.99999	1089	2169.00001
ENSG00000136999	52	56	53	1	4	5
ENSG00000137033	0	0	0	1	0	0
ENSG00000137038	2896	2494	2537	7446	4659	5660
ENSG00000137040	12	27	20	8	5	6
ENSG00000137054	370	334.99999	343	762	599.00001	593
ENSG00000137055	133	142	118	137	49	122
ENSG00000137070	25	33.99999	14	9	6	6
ENSG00000137073	851.00001	640	764	753	1198	519
ENSG00000137074	992.99999	1015.00001	1011.00004	686	557.00001	542.99998
ENSG00000137075	27	30.99999	27	30	20.00001	22
ENSG00000137076	1975	1986	1991.99999	1874	3442	1443
ENSG00000137077	0	1	0	0	0	0
ENSG00000137078	0	0	0	0	2	3
ENSG00000137090	8	12	21	2	0	3
ENSG00000137094	59	82	55	24	28	39
ENSG00000137098	14	15	22	10	16	11
ENSG00000137100	3033	2880	2804	3409.00001	2543.99999	2937.99999
ENSG00000137101	7	5	3	2	3	7
ENSG00000137103	125.99999	122	148.00001	199.99999	230.99999	166
ENSG00000137106	2089.99999	1851	1893	3255.00001	2287.00001	2876.00001
ENSG00000137124	532	551	505	449	297	347
ENSG00000137133	1483	1696	1614.99999	2044.00001	2501.99999	1772.99998
ENSG00000137135	390	328	299	346	240.99999	300.00001
ENSG00000137142	30	31	15	8	4	5
ENSG00000137145	104.00001	91	95	123.00001	167.00001	62
ENSG00000137154	77602	73593	70931	158548.99999	100869	137350
ENSG00000137161	1050	977	923	1233	946	1161
ENSG00000137166	282	179	211	339	530	234
ENSG00000137168	1137	1055	981	555	213	516
ENSG00000137171	175	125.99999	116	163	156	200.00001
ENSG00000137177	77.00002	81.00001	71	33	51.99999	17
ENSG00000137185	77.00001	108	113.00001	127	69	83
ENSG00000137193	255	249	210	271	400	187
ENSG00000137198	62	37	32	39	64	38
ENSG00000137200	156	158	177	194	294	136
ENSG00000137203	342	271	273.99999	337.99999	293	205
ENSG00000137207	2289	2192.99999	2070	2319.99999	1368	2351
ENSG00000137210	3998	3919	3624.00001	3323	1748.99999	2543
ENSG00000137216	97	78	94	90	136	114
ENSG00000137218	9	8	14	11	23	12
ENSG00000137221	173	174.99999	189.00001	144.99999	174	136
ENSG00000137251	2	2	1	15	12	11
ENSG00000137252	2	0	0	0	0	0
ENSG00000137261	2	1	3	2	0	2
ENSG00000137266	28	42	25	15.00001	16	11
ENSG00000137267	625	574.00001	577	124	116	134
ENSG00000137269	62.99999	84	58	43	58	43
ENSG00000137270	1	0	0	0	1	0
ENSG00000137274	887	818.00001	772	637.99999	408	554.99999
ENSG00000137275	193	194	213.99999	145	118	72
ENSG00000137285	10	17	11	8	15.99999	12
ENSG00000137288	4605.99999	4132	4140	11218.99999	9118	7220
ENSG00000137309	10512	9767.99999	9373	25618.99999	37287.00001	21644
ENSG00000137310	129	135	99	64	60	61
ENSG00000137312	801	910	774.99999	1504.99999	1752.00001	1522.00001
ENSG00000137331	2129	1861	1967	1425	1797	1687
ENSG00000137337	155	91	106	116	218	112
ENSG00000137338	8	20	12	12	12	19
ENSG00000137343	141.99999	148	146.99999	101.00001	75	86
ENSG00000137364	79	69	75	31	21	24
ENSG00000137392	0	0	1	0	0	0
ENSG00000137393	107	92	94	9	17	8
ENSG00000137404	493.00001	342	412	875	770.00001	889.00001
ENSG00000137409	1777	2221.00001	1756	2707.00004	4365.99999	2842
ENSG00000137411	118	103	95	374	416.00001	346
ENSG00000137413	237.99999	226.99999	187.00001	248	155	149.00001
ENSG00000137414	18	20	14	5	4	7
ENSG00000137434	200	176.00001	178	158	153	129
ENSG00000137440	86	56	46	205	168	232
ENSG00000137449	9	9	4.99999	7	14	4
ENSG00000137460	31	22	31	28	27	20
ENSG00000137462	7	7	11	0	0	1
ENSG00000137463	0	0	1	16	9	15
ENSG00000137474	122	144.99999	127.99999	222	279.00001	227
ENSG00000137478	67	50	49	30	32	31
ENSG00000137486	267	275	228	855	1162.99999	865
ENSG00000137491	0	2	0	0	0	0
ENSG00000137492	30	24	23	11	12	13
ENSG00000137494	132	111	121	24	19	37.00001
ENSG00000137496	21	25	15	23	29	17
ENSG00000137497	761	579.00001	658.99999	1009.00002	1462	719
ENSG00000137500	920.99999	811	844	519.99999	210.99999	399
ENSG00000137501	41.99999	40	44	10	8	11
ENSG00000137502	44	37	53	13	2	9
ENSG00000137504	20	28.99999	18	12	14	7.00001
ENSG00000137507	0	0	0	0	1	0
ENSG00000137509	788	690.99999	633.99999	497	276	407
ENSG00000137513	115.00001	192.99999	129.00001	84.99999	48	91.99999
ENSG00000137522	476.99999	465	461	595	506.99999	573
ENSG00000137547	2102	2148	2089	1554	965	1307
ENSG00000137563	223.99999	216.99999	182	82	50	72.99999
ENSG00000137571	13	15	23	36	29	25
ENSG00000137573	7.00002	5	2.99998	28	21	21
ENSG00000137574	546	409	493	469	346	246
ENSG00000137575	260	229	235	346	282	249
ENSG00000137601	219	255	227.99999	31.99999	13.00001	18.99999
ENSG00000137628	23	28	25	26.00001	37	15
ENSG00000137642	631	364	400	827	480	603
ENSG00000137648	271.99999	194.99999	255	1004.00001	831.00001	1148
ENSG00000137656	528	691	626	603	599	516
ENSG00000137672	0	0	0	26	29	31
ENSG00000137673	7	3	10	44	30	51
ENSG00000137674	0	0	0	0	1	0
ENSG00000137691	124	147.00001	123	45	43	36
ENSG00000137692	899	1037	952.00001	387	296	377
ENSG00000137693	111.99999	112	112.00001	77	89	56
ENSG00000137699	4	6	9	4	6	2
ENSG00000137700	263.00001	219.99999	239.99999	441	346.00001	360.99999
ENSG00000137707	28	31	39	13	2	7
ENSG00000137709	19.99999	18	19	85.99999	54	50.99999
ENSG00000137710	1945	2247	1888	1855.00001	1341	1015
ENSG00000137713	192.00001	193	173	143	95	129.99999
ENSG00000137714	532	490	345	220	143	235
ENSG00000137720	1255	990	997	1731	962	1481
ENSG00000137726	1	0	0	0	4	5
ENSG00000137727	16	13	14	0	0	0
ENSG00000137731	0	1	0	74	72	74
ENSG00000137745	124	110	122	7	4	12
ENSG00000137747	50	62	76	527	310	495
ENSG00000137752	203.99999	248	251.99999	16	12	20
ENSG00000137757	1	1	0.99999	2	1	1
ENSG00000137760	151	103	140	58.00001	21	30
ENSG00000137764	171	182	135	134	155	99
ENSG00000137767	1226	1221	1129	844	683	786
ENSG00000137770	105	101	119	73.99999	58	40
ENSG00000137776	2539	1942	2044	960	662.00001	574.00001
ENSG00000137801	201	183	213	15	16	13
ENSG00000137802	83	68	74	41	71	36
ENSG00000137804	1273.00001	1043.99998	944	626	445	547
ENSG00000137806	535	563	537.00001	241	154.00001	148.99999
ENSG00000137807	323	318.99999	235.99999	132	74	98.99999
ENSG00000137809	9	7	11	0	0	0
ENSG00000137812	26	19	16.00001	8	5	4.00001
ENSG00000137814	234.00001	188	200.00001	93	88	70.99999
ENSG00000137815	2186	1834	1787	1528	1111	744
ENSG00000137817	175.99999	137.99999	174.00001	11	12	7.99999
ENSG00000137818	208978	186494	185846	246603	173508	179784
ENSG00000137819	34	47	34	42	27	33
ENSG00000137821	14	17	20	1	6	4
ENSG00000137822	266	272	223	187	147	130.99999
ENSG00000137824	360.00001	351	281	170.99999	116	156
ENSG00000137825	8	0	2	21	26	16
ENSG00000137831	415	345.00001	338.00001	188.99999	107	182
ENSG00000137834	11	12	7	38	28	26
ENSG00000137841	2	8	13	74.00001	103	61.99999
ENSG00000137842	72	65	77	96	90	78
ENSG00000137843	205	148.00001	193	87	147.99999	86.00001
ENSG00000137845	203	151	166	65	54	62
ENSG00000137857	15.99999	22	19.00001	8.99999	9	5.00001
ENSG00000137860	6	14	31	5	2	6
ENSG00000137868	93.99999	74.99999	101.99999	23	37.99999	20
ENSG00000137869	2	1	1	2	2	6
ENSG00000137871	150	134	104	88	72.00001	66.99999
ENSG00000137875	27	43	26	4	8	5
ENSG00000137876	363	304	309	293	234	177.99999
ENSG00000137877	2	1	1	0	1	1
ENSG00000137878	2	8.00001	14	1	0	0
ENSG00000137880	194	172	200	458	313	465
ENSG00000137936	199.99999	156	150	382	280	335
ENSG00000137941	11	15	19.00001	8	4.99998	5
ENSG00000137942	405	339	363	1143	660.99999	588
ENSG00000137944	38	28	32	100	31	83
ENSG00000137947	638	589	593	717	361	723
ENSG00000137948	0	0	0	31	15.99998	14
ENSG00000137955	46	37	44.99999	46.99999	30	42
ENSG00000137959	162	127	157.99999	163.99999	100.99999	152.99999
ENSG00000137960	0	0	0	2	0	0
ENSG00000137962	447	665	580	278	206	233
ENSG00000137965	83.99999	74	62	37	38	32
ENSG00000137968	0	0	0	32	41	32
ENSG00000137970	24921	20808	21931	77814	50269	68491
ENSG00000137975	5	2	2	1	0	0
ENSG00000137976	0	1	0	0	0	0
ENSG00000137992	160	66	84	254	222	166
ENSG00000137996	640	716	639	589	367	516
ENSG00000138002	115.99999	91	96.99998	128	166	165
ENSG00000138018	57	57	65	36	31	36
ENSG00000138028	3	2.99999	7	48	36	30
ENSG00000138029	2285	2332	2223.00001	1704	1100	1626.99999
ENSG00000138030	39	44	43	24	51	34
ENSG00000138031	202	223	188	125	174	93
ENSG00000138032	26	47	31	68	43	38
ENSG00000138035	159	142	136	95	75	113
ENSG00000138036	102	54.99999	97	52.00001	65	36
ENSG00000138050	257	225.99999	268	154	111	123.00001
ENSG00000138061	140	164.99999	129.99999	11	10	10
ENSG00000138068	6	2	1	0	0	0
ENSG00000138069	1277	1315.00001	1247	714.00001	410.00001	761.00001
ENSG00000138071	886	944	965	512	411	439
ENSG00000138073	519	610.99999	525.00001	478	698	518
ENSG00000138074	262.99999	260	272	284	381	289.99999
ENSG00000138078	104	117.99999	110.99999	67.00001	117	57
ENSG00000138079	6	5	3	10	4	11
ENSG00000138080	3	4	5	1	1	1
ENSG00000138081	16	20	13	11	20	8
ENSG00000138083	7	8	4	0	2	0
ENSG00000138085	6674	6342	6355	6073	4033	6030
ENSG00000138092	157	135	123	93	117	120
ENSG00000138095	260.99999	344	298	191.00001	233.99999	156.99999
ENSG00000138100	25	24	30	4	5	0
ENSG00000138101	148.00001	144.99999	126	195	246.99999	145.99999
ENSG00000138107	2570	2367	2332.99999	2281	2486.99999	2259
ENSG00000138109	14	3	14	0	0	0
ENSG00000138111	519	467	436	282	192	219
ENSG00000138115	3.99999	3	3.99999	0	0	0
ENSG00000138119	2857	2535.00001	2876.99998	1778	2247	1139
ENSG00000138131	19	20	12	0	0	0
ENSG00000138134	195	184	172	54	23	46
ENSG00000138135	25	22	20	3	2	3
ENSG00000138138	296	296	278.99999	113.00001	81	89
ENSG00000138152	7	6	6	9	9	14
ENSG00000138160	71	52	61	18	19	10
ENSG00000138161	0	0	0	7	0	0
ENSG00000138162	329	240	288	239	265	162
ENSG00000138166	119	143	149	135	217	106
ENSG00000138172	442	466	504.99999	179	178	176
ENSG00000138175	1629	1363	1362	564	334	481
ENSG00000138180	211	218	170	65	35	55
ENSG00000138182	30	19	17	1	4	7
ENSG00000138185	10	14	11	5	4	3
ENSG00000138190	49	39	40	65	50	29
ENSG00000138193	74	64	50.99999	28	42	17
ENSG00000138207	0	0	0	3	1	3
ENSG00000138231	209	251.00001	209	99.99999	41	96.99999
ENSG00000138246	52	31	51	25	14	10
ENSG00000138271	1022	958	948	101	36	83
ENSG00000138279	2863	2895	2652	1143	475	1002
ENSG00000138286	47	65	61.00001	50	50	41
ENSG00000138303	428	459	438	269	195.00001	214.00001
ENSG00000138308	1	0	0	2	0	0
ENSG00000138311	6	6	15	1	0	1
ENSG00000138315	0	0	1	0	0	1
ENSG00000138316	6	3	5	0	0	0
ENSG00000138326	51886.99999	42754.99999	42045.00002	21927.99999	20899.00001	24070.99999
ENSG00000138336	12	10	11	5	4	3
ENSG00000138346	31	24	25	13	21	12
ENSG00000138347	3	5	1	4	4	0
ENSG00000138356	18	14	13	9	3	4
ENSG00000138363	2207	2085	1951.00001	4269.99999	4379	4043
ENSG00000138375	927.99999	1016.99998	1019	931.00001	805.00001	799.00001
ENSG00000138376	103	65.99999	77.99999	121	123	55
ENSG00000138378	50	50	54	80	43	62
ENSG00000138380	17	24	20	9	14	4
ENSG00000138381	421	480.99999	440	139.00001	186	120.00001
ENSG00000138382	2035	1938.99999	1899	1401.00001	788.99999	1196.00001
ENSG00000138385	1390	1060.00001	1216	900	510	621
ENSG00000138386	19	22	18	8	10	9
ENSG00000138395	0	0	1	0	6	0
ENSG00000138398	1942	1670.00002	1679.99999	992	672	780.00002
ENSG00000138399	38	26	35	24	20	10
ENSG00000138400	39	50	57	47	38	29
ENSG00000138411	2.00002	3	4.00002	6.00001	2	9
ENSG00000138413	1145	1261	1100	1148	478	1078
ENSG00000138430	823	917	785	1018.99999	479.99999	743
ENSG00000138433	815	707	796	530	408	435
ENSG00000138434	56	77	66	46	27	40
ENSG00000138435	0	0	0	0	1.00002	0
ENSG00000138439	32	19	21	17	12	12
ENSG00000138442	648	651	627	510	272	491
ENSG00000138443	591	749.00001	572.99999	682.99999	408	575.99999
ENSG00000138448	31.00001	38	46.00001	33	29	22
ENSG00000138449	59	54	55	6	5	11
ENSG00000138459	29	21	34	13	13	10
ENSG00000138463	101	129	76	82	59	76
ENSG00000138468	34	40	33.00001	39	30	30.99999
ENSG00000138472	0	0	1	0	0	0
ENSG00000138495	6606.99999	5390	5379	4894	3254.00001	3571
ENSG00000138496	561	542	573	429.00001	272.99999	322.99999
ENSG00000138587	83	44	54	21	21	12
ENSG00000138592	435	453	491	211.99999	154	155
ENSG00000138593	84	99	76	37	26	29
ENSG00000138594	558	453	515	336	172	211
ENSG00000138600	194	238.00001	174.00001	55	47	51
ENSG00000138604	89	81	73	100	32	74
ENSG00000138606	4	4	5	30	52	24
ENSG00000138613	950.00001	660	727	28	30	43
ENSG00000138614	946	1249.00001	1140	561	351.99999	523.00001
ENSG00000138615	3	0	0	1	0	0
ENSG00000138617	508.99999	471	606	85.00001	72	72
ENSG00000138621	520	531	504.00001	367	310	331
ENSG00000138622	0	3	2	0	0	0
ENSG00000138623	224	247	258	78	100	60
ENSG00000138629	1637.99999	1495	1517.00001	1529	1290.99998	1582
ENSG00000138639	104.00001	118	76.99999	60	38	28
ENSG00000138640	236.99999	171	224.99999	133	139.99999	84.99999
ENSG00000138641	10	12	7	11	9	14
ENSG00000138642	206	212	238	143	118	105
ENSG00000138646	41	48	38	5	14	6
ENSG00000138650	8	2	4	0	0	0
ENSG00000138653	2	3	3	0	0	2
ENSG00000138658	2	2	0	4	0	0
ENSG00000138660	82	53	80	40	35	27
ENSG00000138663	413	425.00001	428	376	144	302
ENSG00000138668	1180.99999	1560.00001	1303.00001	873	888	900
ENSG00000138669	2	2	4	28	7	10
ENSG00000138670	1	6	6	1	1	1
ENSG00000138674	648	655.99999	629	365.00001	440.99998	363.00001
ENSG00000138675	0	1	2	1	1	1
ENSG00000138678	123	140.00001	85	98	38	96
ENSG00000138685	0	0	0	6	8.00001	4.00001
ENSG00000138686	477	465	449.00001	271.99999	147	196
ENSG00000138688	37.99999	33.00002	37.00001	21	44.99998	17
ENSG00000138696	14	16	16	4.00001	5.00001	4
ENSG00000138698	297	303	260	245	147.99999	189.99999
ENSG00000138709	275	227	259	469.99999	336	193
ENSG00000138722	2	0	0	0	0	0
ENSG00000138735	47	19	38	15	10	6
ENSG00000138738	1	0	2	0	0	0
ENSG00000138744	333.99999	352	309	60	20	50
ENSG00000138750	60	57.99999	46	49	18	30
ENSG00000138755	1	0	0	0	0	0
ENSG00000138756	22	22	28	4	4	5
ENSG00000138757	530	477.99999	488.99999	254.99999	222.00001	210
ENSG00000138758	870.99999	824	753	304	373	192
ENSG00000138759	37	34	48	37	32	57
ENSG00000138760	1287.99999	1220	1213	572	482.99999	435
ENSG00000138764	24	19	20	11	20	16
ENSG00000138767	14	14	14	8	17	5
ENSG00000138768	409	453	403	198	100	172
ENSG00000138769	64	68	50	1	4	5
ENSG00000138771	99	83	85	138	151	110
ENSG00000138772	3577	3799.00001	3607	3887	1494	3359
ENSG00000138777	1613	1429.99999	1307	2211	1095	1768.99999
ENSG00000138778	21	6	16	5	5	4
ENSG00000138780	63	55	43	18	12	15
ENSG00000138785	491	525	483.99999	316	128	250
ENSG00000138792	3	4	3	5	6	8
ENSG00000138794	1083	971.00001	1002	1382	772	1032
ENSG00000138796	1116.99999	990.99998	939.99999	1107.00001	600	990
ENSG00000138798	5	13	5	4	0	6
ENSG00000138801	406	414	377	330	149	310
ENSG00000138802	22.00001	23	12	20	23	9
ENSG00000138814	113	134	108.00001	47	39	40
ENSG00000138821	31	39	50	17	9	19
ENSG00000138823	0	1	1	0	18	1
ENSG00000138829	0	0	0	2	5	1
ENSG00000138834	35	31.00001	39.00001	50	76	50
ENSG00000138835	270.00001	340	298.99999	293	493.99998	282
ENSG00000138867	646	557.00001	529	455	438	337
ENSG00000138892	2	4	0	0	0	0
ENSG00000138942	409	356.00001	425	162	171	195
ENSG00000138944	1	3	3	13	10	14
ENSG00000138964	1	0	3	11	13	10.99999
ENSG00000139044	120	113	146	1164	1266	885
ENSG00000139053	0	2	0	0	0	0
ENSG00000139055	440	296	351	388	184	333
ENSG00000139083	177	147	162	303	255	112
ENSG00000139112	357.00001	317.99999	309.00001	446	273.00001	441
ENSG00000139116	247	272	221	127	89	97.99999
ENSG00000139117	139	147	157	46	57	26
ENSG00000139131	481	542	518	657	437	664
ENSG00000139132	60	43	45	58	40	47
ENSG00000139133	35	33	21	9	2	5
ENSG00000139144	1	0	1.00002	0	0	0
ENSG00000139146	279	333	363.00001	643	605	447
ENSG00000139154	14	13	14	39	45	45
ENSG00000139160	64	35	58	51.00001	62	38.00001
ENSG00000139163	135	121.00001	115	237.00001	88	172.99999
ENSG00000139168	5180.99999	3341.99999	3665.00001	2381.99999	1418	1394
ENSG00000139173	14	9	10	1	3.00001	2
ENSG00000139174	122	124.99999	136.99999	71	115	53
ENSG00000139178	240	194.99999	206.00001	389.99999	244.00001	311.00001
ENSG00000139180	2065	1894	1709	5723	4927	5925
ENSG00000139182	177	183	186.99999	430	456.00001	413.99999
ENSG00000139187	16	24	10	16	11	14
ENSG00000139190	21	14	13	29	9	18
ENSG00000139192	911.99999	766	879	1180	1095	1285.99999
ENSG00000139193	5	2	3	2	4	3
ENSG00000139194	2	1	2	17	13	4
ENSG00000139197	129	106.00001	137	387	554.99999	363
ENSG00000139200	1	0	0	0	0	0
ENSG00000139209	2	1	2	1	0	0
ENSG00000139211	155	188	164	248.99999	237	205
ENSG00000139218	501	458	519.99999	386	537.99998	247
ENSG00000139219	5	4	0.99999	3	6	9
ENSG00000139233	1144	871	1011	569	562	459
ENSG00000139239	806	618	716	1318	1584	779
ENSG00000139263	23	34	37	29	19	16.00001
ENSG00000139266	160	119	148	340	499	270
ENSG00000139269	29	46	50	3	2	4
ENSG00000139278	766	794	823	53	22	34
ENSG00000139289	1815	2052	1858	1477	1026	1519
ENSG00000139291	254.99999	231	228.99999	68	71	62.99999
ENSG00000139318	353	353	397	467	260	512
ENSG00000139323	86	89	63	85	64	75.00001
ENSG00000139324	7	21	16	2	0	4
ENSG00000139343	12482	10169	10621	10180	6936	7480
ENSG00000139344	10	24	17	0	0	0
ENSG00000139350	6	14	16	2	2	4
ENSG00000139351	0	0	0	1	0	0
ENSG00000139354	54	42	34	67	71	35
ENSG00000139364	5	3	4	0	1	2
ENSG00000139370	52	43	36	48	42	34
ENSG00000139372	422	319	323	895	880.00001	380
ENSG00000139405	360	356	353	724	747	655
ENSG00000139410	365	386.00001	374	373	482	389
ENSG00000139428	878.00001	844.99999	822	1806	1558.00001	1454
ENSG00000139433	1068.00001	1165	1081.99999	921	656	624
ENSG00000139436	138	118	117	115	84	116
ENSG00000139437	402.99999	318.00001	331	436	398	274.00001
ENSG00000139438	13	11	10	5	6	2
ENSG00000139445	1	0	0	0	0	0
ENSG00000139496	257.99999	255	218.99999	491	560	403
ENSG00000139505	15	23	16	2	2	3
ENSG00000139508	0	0	0	6	1	7
ENSG00000139514	540	635	588	1287	834	729
ENSG00000139515	0	0	0	3	0	0
ENSG00000139517	11	9	9	9	10	8
ENSG00000139531	315.99999	290.00001	251.99999	276.99999	258	306
ENSG00000139537	19	17	43	12	8	1
ENSG00000139540	7	6	3	7	10	3
ENSG00000139546	821.00001	754.99999	728.00001	1169.99999	1301.99999	1343
ENSG00000139547	2	1	1	0	1	2
ENSG00000139549	2	0	0	0	0	0
ENSG00000139567	0	7	1	3	7	3
ENSG00000139574	0	3	2	6	1	0
ENSG00000139579	1005	1071.99999	986.99999	860	806	724
ENSG00000139597	6	2	6	25	15	12
ENSG00000139610	6	2	6	8	1	5
ENSG00000139613	3236	2789	2979	3946.00001	3636	2815
ENSG00000139618	9	3	5.99998	11.00004	9.99999	1.99997
ENSG00000139620	180	213	191	156.99999	86	141
ENSG00000139624	573.00001	544	503.99999	379	306	375
ENSG00000139625	49	44	57	34	42	25
ENSG00000139626	47	34	55	4	2	11
ENSG00000139629	1053	770	960.99999	1701	2143.99999	1243.00001
ENSG00000139631	31	29	48	13	13	14
ENSG00000139636	367.99999	301.00001	278	534	491	462
ENSG00000139637	1911	1991	1996	2308	1981	2577
ENSG00000139641	922	753	825	621	734	555
ENSG00000139644	15215	13106.00001	12716	8122.99999	6890.99999	7071
ENSG00000139645	144	145	140	248	384	155
ENSG00000139648	0	0	0	0	1	0
ENSG00000139651	225	196	259	205	167	179
ENSG00000139668	55	67	41	48	62	47
ENSG00000139679	3	2	5	1	0	0
ENSG00000139684	354	381	425	720	400	516
ENSG00000139687	2	12	2.99999	24.00001	14	8.00001
ENSG00000139697	340	287	254	261	212	140
ENSG00000139714	105	98	117	77	63	58.99999
ENSG00000139718	124	116	159	223	359	107
ENSG00000139719	609	598.99998	589	459	348	364
ENSG00000139722	428	414	388	677	1032	551
ENSG00000139725	1654	1713	1567	1327	496.00001	1117
ENSG00000139726	1424	1120	1164	1011	1251	617
ENSG00000139734	25.00001	26	27.00001	35	56	30
ENSG00000139737	0	0	1	1	0	3
ENSG00000139746	201.99999	133	107.00001	89	44.99999	79
ENSG00000139767	1	0	0	0	0	0
ENSG00000139793	77.99999	71	82.99999	26	36	20.99999
ENSG00000139797	14	10	5	0	0	0
ENSG00000139800	0	1	1	1	0	1
ENSG00000139826	51	55	32	20	11	29
ENSG00000139832	84	79	83	173	211	166
ENSG00000139835	216	198	177	644	471	643
ENSG00000139842	254	346.99999	258	327.99999	332.00001	236
ENSG00000139865	0	1	2	11	17	3
ENSG00000139880	35	32	31.00001	48	87	41
ENSG00000139890	19	16	20	33	45	24
ENSG00000139899	13	15	10	9	9	8
ENSG00000139908	1	2	1	18	8	1
ENSG00000139910	66	59	63	228	156	152
ENSG00000139914	7	14	17	37	26	20
ENSG00000139915	0	0	0	1	0	0
ENSG00000139921	234	167	244	128	86	81
ENSG00000139926	134	170	143	40	35	28
ENSG00000139946	0	2	0	3	5	1
ENSG00000139971	69	66	66	16	10	12
ENSG00000139973	20	21	18	9	3	3
ENSG00000139974	435.00002	362.99999	374.00001	94.99999	49	83
ENSG00000139977	164	190	140	35	32	31
ENSG00000139985	22	18	16	2	1	2
ENSG00000139988	2	5	2	2	0	4
ENSG00000139990	624.99999	477	503	360	312.99999	252
ENSG00000139998	157.00001	127	152	1600.00001	2408	1117.99999
ENSG00000140006	44	27	36	16	23	20
ENSG00000140009	25	16	27	4	9	8
ENSG00000140022	99.00001	101	104	21	14	18
ENSG00000140025	1800	1377	1541	658.00001	527.00001	584.99999
ENSG00000140030	0	1	0	0	0	0
ENSG00000140043	221	225.00001	218.00001	94.99999	93	85
ENSG00000140044	133	93.99998	113	170.99999	260.00001	107
ENSG00000140057	106	78.99999	72	34	24	38
ENSG00000140090	231	257.99999	248.99999	4	2	1
ENSG00000140092	4	4	5	13	10	5
ENSG00000140093	0	1	0	0	0	1
ENSG00000140104	194	193	174.00001	97	153.99999	87
ENSG00000140105	6891.00001	7457.00002	6699	5345.99999	5334.99999	5648
ENSG00000140153	515.00001	514	514	207	70.00001	170
ENSG00000140157	439.00001	611.99999	460.99999	125	59	120.00001
ENSG00000140199	82.99999	82	61	16	23	27
ENSG00000140254	5	0	4	0	0	1
ENSG00000140259	1213	820	967	634	498	356
ENSG00000140262	42	62	55	18	22	11
ENSG00000140263	712	700.99999	612	1003	649	909.99999
ENSG00000140264	44705	42554	42547	35653.00001	26948	29773
ENSG00000140265	76	86	95	49	16	30
ENSG00000140279	0	2	2	1	0	0
ENSG00000140280	62	94	56	10	20	36
ENSG00000140284	11	5	10	20	14	35
ENSG00000140287	1	0	0	0	0	0
ENSG00000140297	46	36	37	219	204	229
ENSG00000140299	291.99999	342	243.00001	63	70	52.99999
ENSG00000140307	1307	1248.00001	1184	591	265.99999	450
ENSG00000140319	23601.99999	17451.99999	18705.99999	16079.99999	10611	12643.99999
ENSG00000140320	262	193	179	223	252	164
ENSG00000140323	51	29	45	29	32	9
ENSG00000140326	62	70	51	101	131	70
ENSG00000140332	466	430	454	342	339.00001	216.00001
ENSG00000140350	7032.00001	6207	6171.99999	3566.99999	2299.99999	2595.99999
ENSG00000140365	4153.99999	3628	3776.00001	2901	2803.99999	2551.99999
ENSG00000140367	36	31	35	10	19	8
ENSG00000140368	2	0	0	0	2	0
ENSG00000140374	3681.00002	3543	3562	2113.99999	977	1857.00001
ENSG00000140379	9	8	4	15	14	24
ENSG00000140382	153	170	174	81	52	76
ENSG00000140386	108.99999	106	115.00001	56	42	46
ENSG00000140391	2939.00001	3357.99999	2715	1817	1363.99999	2159.00001
ENSG00000140395	2822	2572	2631.99999	983	543	928.00001
ENSG00000140396	87	80	65	26	48	13
ENSG00000140398	38	45	34	16	18	9
ENSG00000140400	131	98.00001	87.99999	187.99999	324	136.99998
ENSG00000140403	67	51	83	2	3	4
ENSG00000140406	25	17	25	21	16	6
ENSG00000140416	4542	4675	4159.00001	1932.99999	1826.99999	1548.00001
ENSG00000140443	204	184	220	99	131	51
ENSG00000140450	3	2	3	0	1	0
ENSG00000140451	24.99999	22	31.00001	55	114	48
ENSG00000140455	477	502.99999	448	395.00001	272	340
ENSG00000140459	1	3	0	0	1	0
ENSG00000140463	215	186	176	71.99999	56	77
ENSG00000140464	465	365.99999	444	976.00002	1953.00001	708
ENSG00000140465	1.99999	1	0.99999	40	38	58.00001
ENSG00000140470	4	0	2	0	1	1
ENSG00000140471	46	49	50	17	9	14
ENSG00000140474	83	132	114	108	139	118
ENSG00000140478	0	0	0	0	1	0
ENSG00000140479	2	1	3	76.99999	60	62.99999
ENSG00000140481	71	52	61	17	7	10
ENSG00000140488	0	0	0	1	0	1
ENSG00000140497	1351.99999	1261	1335.99998	1181	979	1267.00001
ENSG00000140511	34	37	30	19	18	9
ENSG00000140519	0	0	0	7	10	15
ENSG00000140521	210.00001	171.99999	172.99998	93.00002	105	68
ENSG00000140525	185	164.99999	165	108	150	106
ENSG00000140526	351	333	333	273	269	242
ENSG00000140527	18.99999	24	25	4	6	6
ENSG00000140534	105	85	62	81	66	69
ENSG00000140543	77	70.99999	69.99999	73.99999	37.00001	32
ENSG00000140545	704.00001	623	674	283	424	320
ENSG00000140548	54	16	67	70	51	25.99999
ENSG00000140553	624	502	595.99999	613.99999	1024.00001	616
ENSG00000140563	47.99999	26.99999	32	14	6	7
ENSG00000140564	341	234.00001	316.00001	237	344.00001	184.00003
ENSG00000140575	820	820	774.00001	363	414	281.00001
ENSG00000140577	166	181	170	113	106	110
ENSG00000140598	97	102	133	75	90	83
